iter	Passed	Remaining
0	23	18522
1	49	19653
2	88	23411
3	113	22602
4	139	22177
5	179	23775
6	204	23165
7	231	22871
8	256	22502
9	281	22236
10	309	22208
11	334	21965
12	361	21867
13	389	21888
14	415	21735
15	440	21606
16	466	21485
17	494	21476
18	521	21417
19	546	21320
20	571	21197
21	597	21114
22	622	21026
23	653	21122
24	680	21091
25	705	21013
26	730	20909
27	756	20859
28	782	20816
29	808	20757
30	837	20764
31	861	20677
32	887	20638
33	912	20565
34	938	20516
35	965	20490
36	992	20473
37	1023	20515
38	1050	20502
39	1077	20481
40	1104	20438
41	1143	20639
42	1171	20625
43	1197	20581
44	1235	20725
45	1261	20682
46	1287	20627
47	1313	20577
48	1338	20522
49	1364	20462
50	1389	20411
51	1416	20381
52	1443	20339
53	1472	20336
54	1499	20310
55	1525	20271
56	1552	20243
57	1581	20227
58	1609	20219
59	1638	20210
60	1664	20164
61	1691	20131
62	1719	20111
63	1746	20080
64	1771	20033
65	1798	19997
66	1823	19954
67	1850	19918
68	1873	19853
69	1899	19810
70	1926	19776
71	1952	19738
72	1978	19702
73	2008	19706
74	2033	19661
75	2062	19644
76	2087	19605
77	2114	19568
78	2140	19536
79	2176	19587
80	2204	19569
81	2232	19550
82	2259	19519
83	2285	19478
84	2312	19451
85	2338	19417
86	2367	19399
87	2393	19367
88	2422	19349
89	2447	19306
90	2473	19271
91	2498	19225
92	2510	19084
93	2536	19053
94	2564	19033
95	2591	19003
96	2617	18971
97	2645	18952
98	2671	18915
99	2697	18884
100	2737	18947
101	2764	18919
102	2789	18878
103	2818	18860
104	2846	18842
105	2876	18832
106	2903	18803
107	2929	18769
108	2955	18735
109	2983	18712
110	3009	18681
111	3036	18654
112	3064	18628
113	3090	18597
114	3116	18561
115	3144	18539
116	3172	18520
117	3198	18486
118	3223	18448
119	3253	18437
120	3280	18406
121	3304	18364
122	3329	18327
123	3356	18300
124	3394	18329
125	3429	18344
126	3455	18313
127	3482	18283
128	3529	18357
129	3554	18318
130	3580	18284
131	3607	18253
132	3634	18227
133	3660	18192
134	3685	18152
135	3713	18132
136	3743	18115
137	3772	18098
138	3801	18078
139	3827	18045
140	3854	18014
141	3879	17978
142	3905	17942
143	3931	17909
144	3958	17881
145	3983	17846
146	4011	17820
147	4040	17800
148	4067	17772
149	4092	17735
150	4125	17729
151	4160	17738
152	4189	17717
153	4234	17762
154	4259	17723
155	4287	17697
156	4313	17664
157	4338	17629
158	4366	17601
159	4392	17568
160	4419	17538
161	4450	17527
162	4479	17507
163	4506	17476
164	4531	17441
165	4566	17439
166	4590	17401
167	4617	17369
168	4649	17359
169	4676	17329
170	4702	17296
171	4728	17263
172	4755	17235
173	4779	17194
174	4805	17160
175	4831	17128
176	4858	17099
177	4883	17066
178	4908	17028
179	4932	16989
180	4958	16958
181	4985	16930
182	5034	16974
183	5077	16997
184	5104	16970
185	5129	16932
186	5154	16895
187	5180	16864
188	5208	16838
189	5235	16809
190	5265	16787
191	5292	16759
192	5318	16727
193	5344	16695
194	5371	16664
195	5397	16634
196	5424	16604
197	5450	16570
198	5475	16538
199	5502	16507
200	5528	16474
201	5553	16441
202	5579	16409
203	5605	16376
204	5632	16346
205	5656	16311
206	5683	16282
207	5708	16248
208	5735	16219
209	5762	16191
210	5788	16159
211	5814	16126
212	5840	16094
213	5869	16071
214	5895	16042
215	5922	16011
216	5948	15981
217	5976	15955
218	6005	15931
219	6035	15910
220	6062	15883
221	6088	15852
222	6114	15820
223	6142	15795
224	6169	15766
225	6197	15739
226	6224	15711
227	6250	15679
228	6276	15651
229	6304	15624
230	6331	15595
231	6357	15564
232	6383	15533
233	6409	15503
234	6434	15470
235	6466	15453
236	6493	15425
237	6519	15393
238	6545	15363
239	6571	15334
240	6597	15303
241	6624	15275
242	6651	15247
243	6677	15216
244	6704	15187
245	6729	15155
246	6757	15128
247	6782	15097
248	6809	15069
249	6836	15039
250	6862	15010
251	6887	14978
252	6912	14946
253	6939	14917
254	6964	14885
255	7007	14889
256	7033	14861
257	7061	14835
258	7091	14813
259	7118	14785
260	7143	14753
261	7170	14723
262	7195	14692
263	7221	14662
264	7247	14631
265	7274	14603
266	7300	14573
267	7328	14546
268	7353	14516
269	7380	14487
270	7404	14454
271	7430	14424
272	7457	14395
273	7487	14373
274	7515	14347
275	7541	14317
276	7569	14292
277	7596	14263
278	7625	14239
279	7653	14213
280	7681	14188
281	7707	14158
282	7734	14130
283	7760	14099
284	7785	14068
285	7812	14039
286	7837	14009
287	7862	13978
288	7888	13948
289	7915	13919
290	7941	13890
291	7968	13863
292	7994	13833
293	8022	13807
294	8051	13782
295	8077	13754
296	8104	13725
297	8130	13695
298	8155	13665
299	8180	13634
300	8206	13604
301	8235	13580
302	8264	13555
303	8293	13530
304	8319	13501
305	8345	13473
306	8370	13442
307	8396	13412
308	8423	13385
309	8449	13355
310	8475	13326
311	8500	13295
312	8525	13264
313	8551	13235
314	8577	13207
315	8603	13178
316	8634	13155
317	8662	13130
318	8690	13103
319	8716	13075
320	8741	13044
321	8773	13024
322	8799	12995
323	8825	12965
324	8851	12936
325	8877	12907
326	8906	12883
327	8932	12854
328	8960	12828
329	8988	12801
330	9016	12775
331	9044	12748
332	9070	12719
333	9105	12703
334	9133	12677
335	9160	12649
336	9186	12620
337	9211	12591
338	9237	12561
339	9262	12531
340	9288	12502
341	9316	12476
342	9343	12449
343	9371	12422
344	9397	12393
345	9423	12364
346	9460	12350
347	9486	12321
348	9515	12296
349	9540	12266
350	9567	12238
351	9592	12208
352	9621	12184
353	9647	12155
354	9674	12126
355	9699	12097
356	9725	12068
357	9750	12038
358	9776	12009
359	9801	11980
360	9827	11950
361	9854	11923
362	9880	11895
363	9907	11867
364	9933	11838
365	9961	11811
366	9987	11783
367	10014	11755
368	10040	11727
369	10067	11700
370	10096	11674
371	10126	11650
372	10152	11622
373	10177	11592
374	10201	11561
375	10228	11534
376	10257	11508
377	10289	11487
378	10317	11461
379	10343	11431
380	10370	11404
381	10407	11388
382	10435	11361
383	10461	11333
384	10486	11304
385	10515	11278
386	10542	11250
387	10582	11237
388	10608	11208
389	10636	11181
390	10666	11157
391	10692	11129
392	10722	11104
393	10749	11077
394	10775	11048
395	10802	11020
396	10827	10991
397	10853	10962
398	10880	10935
399	10905	10905
400	10931	10876
401	10960	10850
402	10988	10824
403	11017	10799
404	11042	10770
405	11070	10742
406	11096	10714
407	11122	10686
408	11148	10657
409	11174	10629
410	11200	10600
411	11232	10577
412	11259	10550
413	11285	10522
414	11310	10492
415	11338	10466
416	11365	10438
417	11391	10410
418	11416	10380
419	11441	10351
420	11465	10321
421	11496	10297
422	11523	10270
423	11549	10242
424	11575	10213
425	11601	10185
426	11634	10163
427	11660	10134
428	11684	10104
429	11709	10075
430	11735	10047
431	11762	10019
432	11800	10001
433	11834	9980
434	11861	9952
435	11887	9924
436	11913	9896
437	11942	9870
438	11969	9842
439	11999	9817
440	12027	9791
441	12055	9764
442	12093	9745
443	12122	9719
444	12155	9697
445	12182	9669
446	12209	9641
447	12234	9613
448	12261	9585
449	12287	9556
450	12321	9535
451	12348	9507
452	12391	9491
453	12417	9463
454	12445	9436
455	12473	9409
456	12499	9381
457	12528	9355
458	12557	9329
459	12583	9300
460	12610	9273
461	12635	9244
462	12660	9215
463	12687	9187
464	12712	9158
465	12739	9130
466	12763	9101
467	12788	9072
468	12816	9045
469	12842	9017
470	12869	8989
471	12896	8962
472	12922	8933
473	12951	8907
474	12979	8880
475	13004	8851
476	13034	8826
477	13061	8798
478	13087	8770
479	13113	8742
480	13140	8714
481	13168	8687
482	13192	8658
483	13219	8630
484	13243	8601
485	13271	8574
486	13300	8548
487	13327	8521
488	13352	8492
489	13378	8464
490	13404	8436
491	13431	8408
492	13457	8380
493	13483	8352
494	13509	8323
495	13533	8294
496	13563	8268
497	13590	8241
498	13616	8213
499	13642	8185
500	13667	8156
501	13693	8129
502	13719	8100
503	13746	8073
504	13773	8046
505	13799	8017
506	13824	7989
507	13850	7961
508	13876	7933
509	13900	7904
510	13928	7877
511	13953	7848
512	13981	7821
513	14007	7794
514	14033	7766
515	14059	7738
516	14085	7710
517	14114	7683
518	14139	7655
519	14165	7627
520	14192	7600
521	14217	7571
522	14242	7543
523	14268	7515
524	14293	7487
525	14318	7458
526	14345	7431
527	14369	7402
528	14398	7376
529	14424	7348
530	14450	7320
531	14476	7292
532	14502	7264
533	14528	7237
534	14556	7209
535	14582	7182
536	14617	7158
537	14644	7131
538	14669	7103
539	14695	7075
540	14720	7047
541	14745	7019
542	14773	6992
543	14797	6963
544	14823	6935
545	14849	6907
546	14878	6881
547	14904	6853
548	14931	6826
549	14959	6799
550	14988	6773
551	15014	6745
552	15040	6717
553	15066	6690
554	15093	6662
555	15119	6635
556	15145	6607
557	15171	6579
558	15199	6553
559	15226	6525
560	15252	6497
561	15279	6470
562	15305	6443
563	15330	6414
564	15355	6386
565	15382	6359
566	15408	6331
567	15436	6305
568	15462	6277
569	15487	6249
570	15513	6221
571	15540	6194
572	15566	6166
573	15610	6146
574	15637	6119
575	15663	6091
576	15689	6063
577	15715	6036
578	15741	6008
579	15767	5980
580	15793	5953
581	15818	5925
582	15843	5897
583	15868	5869
584	15895	5841
585	15924	5815
586	15953	5789
587	15980	5761
588	16005	5733
589	16031	5706
590	16057	5678
591	16084	5651
592	16109	5623
593	16135	5595
594	16162	5568
595	16191	5542
596	16221	5516
597	16247	5488
598	16272	5460
599	16298	5432
600	16325	5405
601	16351	5377
602	16376	5350
603	16401	5322
604	16444	5300
605	16473	5273
606	16499	5246
607	16524	5218
608	16552	5191
609	16576	5163
610	16604	5136
611	16632	5109
612	16660	5082
613	16687	5055
614	16713	5027
615	16739	5000
616	16765	4972
617	16794	4946
618	16821	4918
619	16846	4890
620	16871	4863
621	16897	4835
622	16925	4808
623	16954	4782
624	16981	4754
625	17007	4727
626	17033	4699
627	17059	4672
628	17086	4645
629	17115	4618
630	17142	4591
631	17167	4563
632	17192	4535
633	17218	4508
634	17243	4480
635	17269	4453
636	17307	4428
637	17332	4401
638	17360	4374
639	17387	4346
640	17415	4320
641	17443	4292
642	17469	4265
643	17500	4239
644	17526	4211
645	17552	4184
646	17578	4156
647	17609	4130
648	17637	4103
649	17663	4076
650	17689	4048
651	17716	4021
652	17743	3994
653	17770	3967
654	17796	3939
655	17822	3912
656	17848	3884
657	17874	3857
658	17903	3830
659	17928	3803
660	17957	3776
661	17990	3750
662	18018	3723
663	18045	3696
664	18071	3668
665	18096	3641
666	18122	3613
667	18151	3586
668	18177	3559
669	18203	3531
670	18232	3505
671	18264	3478
672	18289	3451
673	18317	3424
674	18345	3397
675	18373	3370
676	18402	3343
677	18429	3316
678	18456	3289
679	18482	3261
680	18508	3234
681	18534	3206
682	18560	3179
683	18585	3151
684	18616	3125
685	18642	3098
686	18669	3070
687	18696	3043
688	18721	3016
689	18746	2988
690	18771	2961
691	18796	2933
692	18822	2906
693	18852	2879
694	18879	2852
695	18906	2825
696	18958	2801
697	18989	2774
698	19019	2748
699	19048	2721
700	19078	2694
701	19106	2667
702	19141	2641
703	19168	2613
704	19198	2587
705	19229	2560
706	19257	2533
707	19287	2506
708	19316	2479
709	19346	2452
710	19374	2425
711	19403	2398
712	19434	2371
713	19461	2344
714	19483	2316
715	19512	2289
716	19538	2261
717	19565	2234
718	19594	2207
719	19621	2180
720	19656	2153
721	19683	2126
722	19710	2099
723	19737	2071
724	19764	2044
725	19792	2017
726	19818	1990
727	19847	1962
728	19873	1935
729	19899	1908
730	19926	1880
731	19952	1853
732	19979	1826
733	20006	1798
734	20033	1771
735	20061	1744
736	20087	1717
737	20113	1689
738	20141	1662
739	20170	1635
740	20196	1608
741	20222	1580
742	20247	1553
743	20270	1525
744	20299	1498
745	20325	1471
746	20351	1443
747	20377	1416
748	20401	1389
749	20428	1361
750	20456	1334
751	20495	1308
752	20523	1280
753	20580	1255
754	20611	1228
755	20639	1201
756	20670	1174
757	20699	1146
758	20729	1119
759	20765	1092
760	20794	1065
761	20822	1038
762	20852	1011
763	20881	983
764	20910	956
765	20939	929
766	20967	902
767	20994	874
768	21031	847
769	21060	820
770	21089	793
771	21119	765
772	21157	739
773	21194	711
774	21225	684
775	21265	657
776	21293	630
777	21323	602
778	21349	575
779	21378	548
780	21405	520
781	21430	493
782	21454	465
783	21506	438
784	21531	411
785	21556	383
786	21582	356
787	21610	329
788	21637	301
789	21666	274
790	21693	246
791	21720	219
792	21745	191
793	21779	164
794	21807	137
795	21836	109
796	21872	82
797	21904	54
798	21983	27
799	22011	0
